  skipping invalid sequence (chars=['N'])
Batch 1/515: RSS 122.7 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 2/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 3/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 4/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 5/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 6/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 7/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 8/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 9/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 10/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 11/515: RSS 123.6 -> 123.6 MB after gc (baseline 122.7 MB, +0.9 MB)
Batch 12/515: RSS 123.6 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 13/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 14/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 15/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 16/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 17/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 18/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 19/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 20/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 21/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 22/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 23/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 24/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 25/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 26/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 27/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 28/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 29/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 30/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 31/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 32/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 33/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 34/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 35/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 36/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 37/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 38/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 39/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 40/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 41/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 42/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 43/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 44/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 45/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 46/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 47/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 48/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
Batch 49/515: RSS 123.7 -> 123.7 MB after gc (baseline 122.7 MB, +1.0 MB)
  skipping invalid sequence (chars=['N'])
Batch 1/466: RSS 125.7 -> 126.6 MB after gc (baseline 125.7 MB, +0.9 MB)
Batch 2/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +0.9 MB)
Batch 3/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +0.9 MB)
Batch 4/466: RSS 126.6 -> 126.6 MB after gc (baseline 125.7 MB, +0.9 MB)
