Batch 1/1198: RSS 128.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 2/1198: RSS 129.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 3/1198: RSS 129.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 4/1198: RSS 129.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 5/1198: RSS 129.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 6/1198: RSS 129.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 7/1198: RSS 129.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 8/1198: RSS 129.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 9/1198: RSS 129.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 10/1198: RSS 129.4 -> 129.4 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 11/1198: RSS 129.4 -> 129.5 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 12/1198: RSS 129.5 -> 129.5 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 13/1198: RSS 129.5 -> 129.5 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 14/1198: RSS 129.5 -> 129.5 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 15/1198: RSS 129.5 -> 129.5 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 16/1198: RSS 129.5 -> 129.5 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 17/1198: RSS 129.5 -> 129.5 MB after gc (baseline 128.3 MB, +1.1 MB)
Batch 18/1198: RSS 129.5 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 19/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 20/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 21/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 22/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 23/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 24/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 25/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 26/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 27/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 28/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 29/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 30/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 31/1198: RSS 128.0 -> 128.0 MB after gc (baseline 128.3 MB, +-0.4 MB)
Batch 32/1198: RSS 128.0 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 33/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 34/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 35/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 36/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 37/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 38/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 39/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 40/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
Batch 41/1198: RSS 123.5 -> 123.5 MB after gc (baseline 128.3 MB, +-4.9 MB)
