rfamseq_acc,seq_start,seq_end,label,seq_length,viennarna_Tm,viennarna_hill_coeff,viennarna_amplitude,viennarna_mean_unpaired_prob,viennarna_sd_pair_prob_10C,viennarna_sd_pair_prob_80C,viennarna_MFE,viennarna_max_loop_length,viennarna_gc_content,viennarna_dangles_model,viennarna_fit_status
JACRTE010000004.1,226305,226434,0,130,72.94969850882423,9.299350277119418,0.5366457798409595,0.2945577557057597,0.004492623140737423,0.0406998876235575,-40.599998474121094,7,0.35384615384615387,2,ok
CP019605.1,2532991,2533086,0,96,32.237483465118814,19.999999999999996,0.5318778885188569,0.49551774605574445,0.7798074095959308,0.8048820510304193,-27.299999237060547,12,0.6041666666666666,2,ok
FSRE01000001.1,445320,445418,0,99,85.46433207558597,7.5820915940394915,0.5105807349071864,0.3778857484458867,0.0018323987663767805,0.018451953899950135,-39.400001525878906,6,0.6464646464646465,2,ok
CP000478.1,3423285,3423188,0,98,41.63679271994784,19.99999777514221,0.0002732539470643447,0.5532192960486529,0.5904027266809176,0.5905780993291014,-28.700000762939453,12,0.5714285714285714,2,ok
MIJB01000009.1,259635,259728,0,94,49.59027557840858,5.048453952487685,0.4309271527794175,0.5286312936574334,0.6042557325478788,0.7947563700438021,-26.399999618530273,8,0.6702127659574468,2,ok
JACHHG010000002.1,125572,125669,0,98,68.15870793802836,6.16937814672501,0.6333786312439051,0.41258420463539974,0.30050734211206986,0.41989974511710915,-40.70000076293945,8,0.6530612244897959,2,ok
PVZS01000010.1,98071,97973,0,99,94.99998508124682,3.903490106175461,0.22214209912736993,0.39394323773799184,0.11130827835627558,0.12945229495551205,-44.599998474121094,9,0.6666666666666666,2,ok
HF996063.1,14081,13991,0,91,12.827722161081484,1.5478594592365937,0.060404628478457845,0.45222221405801427,0.40329507940217957,0.40758547632007297,-24.0,8,0.5604395604395604,2,ok
CP025513.1,1104934,1105037,0,104,63.95277633201585,5.775389566129481,0.7101448781276962,0.35071598950998245,0.035503860932931425,0.21712907153398195,-41.70000076293945,6,0.625,2,ok
JACMQW010000080.1,73935,74028,0,94,53.40890332186397,19.999999999999996,-0.0034753392556287066,0.39340600165953366,0.9602608861157759,0.9600406451066273,-29.799999237060547,11,0.574468085106383,2,ok
AP012338.1,3520195,3520101,0,95,47.74202190727025,6.4415871432401115,0.10940068240646705,0.4115018528404845,0.6355033261764305,0.6957460636513998,-33.70000076293945,11,0.6842105263157895,2,ok
FNGS01000003.1,286282,286186,0,97,90.47614763925047,2.9720880638836444,0.6141409579564215,0.49324972565447994,0.41243615168236075,0.48645071002142926,-25.399999618530273,10,0.5670103092783505,2,ok
FQXB01000003.1,227429,227331,0,99,78.07286770152506,3.146651002851621,0.6597109373053323,0.48380890248000874,0.5114164683423441,0.6184121366928,-29.5,6,0.6060606060606061,2,ok
BEIN01000001.1,1521,1431,0,91,52.49690208538233,7.547122758256948,0.08782899383973053,0.43818564745177174,0.5419489491568404,0.5876824062822761,-24.299999237060547,6,0.5604395604395604,2,ok
VRSW01000004.1,84882,84974,0,93,67.39080857637303,6.432639205852454,0.6280623575398027,0.43594090934531277,0.258777392551957,0.3796723336519682,-27.299999237060547,7,0.6021505376344086,2,ok
PYAV01000002.1,6088,5987,0,102,48.11197756519121,10.037165044138433,0.059896390313082665,0.5102965282146114,0.1989396901502322,0.24244001207008092,-26.5,18,0.5392156862745098,2,ok
JH651384.1,3388341,3388248,0,94,60.36874395615946,8.368344231889639,0.10400326844157426,0.45547597175528864,0.3788785566432777,0.4098388580930254,-28.399999618530273,9,0.5851063829787234,2,ok
FORY01000009.1,84450,84353,0,98,42.84445053381861,8.719634965445382,0.17387423352407094,0.5023003600167334,0.7356658529054994,0.8536896659527626,-25.299999237060547,6,0.5918367346938775,2,ok
PDEP01000001.1,237674,237579,0,96,62.93501309731031,7.084947555347754,0.6532187212744248,0.4918755725264807,0.40319820433429127,0.569953231472406,-26.899999618530273,8,0.5833333333333334,2,ok
AVOG02000001.1,524638,524541,0,98,30.04066855569411,1.9594597840059753,0.8326145311363992,0.4466144612007331,0.20845437181890153,0.346532317772055,-27.600000381469727,6,0.5918367346938775,2,ok
JACHXA010000008.1,32734,32848,0,115,94.99999026547177,3.7077165703575186,0.39630310797890295,0.44809480726466566,0.4078069082357823,0.44230927559559874,-44.20000076293945,10,0.6,2,ok
CP000141.1,2138132,2138225,0,94,79.6048462434793,2.7760781680711584,0.10661647236770105,0.40783857062139073,0.41326851811307447,0.43008205887911544,-33.70000076293945,8,0.574468085106383,2,ok
CYSD01000020.1,75183,75274,0,92,43.57325015890672,14.159878188978139,-0.041104677452014515,0.43124328280340174,0.47576794514693727,0.43786390471805464,-32.20000076293945,8,0.5978260869565217,2,ok
JACHIW010000001.1,783117,783020,0,98,40.15379049878901,19.999999999999996,-0.08175920330349423,0.4433461854804936,0.4636097031768924,0.40102074441220215,-32.5,9,0.6122448979591837,2,ok
JXII01000010.1,56078,55982,0,97,49.44888706353761,2.8714472864609712,0.25952044467260893,0.4936521707544556,0.2976378404159093,0.3684248391066304,-26.0,11,0.5773195876288659,2,ok
SMAR01000016.1,11989,12084,0,96,55.05576436462219,3.775923033431066,0.12256856545487876,0.4472130884152446,0.3251346927368097,0.3639820296668935,-29.0,13,0.59375,2,ok
LT907844.1,197802,197708,0,95,22.724846820802764,3.892911065051359,0.34535391597495313,0.44410570586504083,0.9057436443636023,0.9400212155238057,-32.5,12,0.6105263157894737,2,ok
FR884410.1,956,1042,0,87,47.07772397804967,14.9081761034855,-0.005383705095792779,0.4475560803357338,0.995917893578661,0.9904844363403494,-35.79999923706055,11,0.6206896551724138,2,ok
KI635562.1,778636,778542,0,95,46.37941849981284,3.571672776047822,0.36963247785945125,0.5128658522015931,0.5612165862069745,0.686658639755197,-23.700000762939453,8,0.5684210526315789,2,ok
CADIKF010000001.1,90217,90124,0,94,46.85712443567779,8.013462961771886,0.35855047103262916,0.4851353885601112,0.5514434400973267,0.7851237615937182,-30.799999237060547,7,0.6595744680851063,2,ok
QQSV01000004.1,71495,71386,0,110,94.99987960254064,4.279732398481297,0.39296859834966713,0.4078663615397965,0.039056190847476704,0.06693597781345348,-40.29999923706055,7,0.6,2,ok
FOSC01000009.1,132418,132511,0,94,48.71767541075772,18.117709442087754,-0.012068861824498622,0.5049652722118406,0.9923554777294212,0.9797924531619568,-29.700000762939453,11,0.6170212765957447,2,ok
CP032762.1,1011483,1011578,0,96,65.9504173065913,5.013233677811001,0.7013462882741823,0.4359674105502702,0.038003324280076856,0.2026381111485274,-29.5,7,0.6145833333333334,2,ok
QUQO01000001.1,1412518,1412423,0,96,91.41929511960609,4.733286076634261,0.36268646048133324,0.3735972479813275,0.041705904161546695,0.06678828431243286,-41.099998474121094,7,0.6875,2,ok
JACICF010000002.1,146040,146148,0,109,41.18879422243553,3.160106331369985,0.19072902427827343,0.43923470107137713,0.5517641197381101,0.6085185487445279,-40.29999923706055,10,0.6605504587155964,2,ok
CP015614.1,1903103,1903229,0,127,94.99983747171515,3.3999837794459964,0.3846688662086417,0.3087150293446922,0.13621065763665233,0.17337348667640384,-60.599998474121094,6,0.6299212598425197,2,ok
SSXI01000226.1,26060,26151,0,92,43.73263032445176,13.699803588043617,-0.06923278589439086,0.444429712476516,0.5579337630961028,0.4941887098713688,-31.899999618530273,8,0.6847826086956522,2,ok
KQ948015.1,281751,281628,0,124,67.94364742122866,5.561312873202516,0.6546034376885075,0.41642158509941285,0.34103143065736985,0.4745780270581436,-44.400001525878906,12,0.6774193548387096,2,ok
FNCY01000002.1,181239,181332,0,94,37.06081759225558,5.249056867293885,0.12960351641544365,0.49490080844585804,0.8781108519060519,0.9286661629381919,-28.299999237060547,7,0.6382978723404256,2,ok
FOPJ01000006.1,43249,43157,0,93,94.99989345316399,3.850840267437209,0.2724769130659399,0.4233624847780232,0.13497439287873841,0.1576947617628668,-29.0,8,0.5806451612903226,2,ok
RHHQ01000007.1,423626,423714,0,89,81.30343114179843,4.764281803987624,0.57810854496337,0.39939617057991356,0.39153584152947596,0.4567310341477847,-22.600000381469727,6,0.550561797752809,2,ok
STGJ01000003.1,124002,124094,0,93,68.26981050941473,9.425904911557096,0.5655014952371025,0.4950392689779616,0.20686188193437838,0.2710549962718517,-31.0,10,0.6129032258064516,2,ok
CP007029.1,2465645,2465549,0,97,68.6027491347144,10.20199830244352,0.03300056815068808,0.43533031246585535,0.33190706257158337,0.33497824674355403,-39.0,10,0.6288659793814433,2,ok
BMAY01000014.1,20027,19938,0,90,40.21146055314534,10.428290405308578,0.004623882165143978,0.5004214113321134,0.9836588831559169,0.9867052393737884,-22.200000762939453,23,0.4888888888888889,2,ok
CP039852.1,2749739,2749635,0,105,49.458043105241956,11.58304742445016,0.05556296021110163,0.4842624023840908,0.37963457891849134,0.42094678021008586,-26.0,8,0.5142857142857142,2,ok
QRAS01000001.1,554951,555044,0,94,90.19264157627833,1.5789777858022778,0.7302280277185158,0.4226564078339345,0.4335262939821356,0.5207432506080447,-30.299999237060547,9,0.5106382978723404,2,ok
BJUK01000003.1,149102,148983,0,120,40.99013920502713,6.058858928207496,0.0852246535825858,0.4246219812394407,0.8810209318172862,0.9240904581603158,-48.400001525878906,24,0.6583333333333333,2,ok
CP025682.1,596841,596740,0,102,50.958527508895514,6.9130258496715,0.005014054497958109,0.5040027368657398,0.8964085337977419,0.8990860952249118,-35.599998474121094,10,0.5882352941176471,2,ok
CP053069.1,61251,61154,0,98,48.21695042411575,5.997882069010298,0.4294904484019858,0.36146359620560653,0.5992372187263306,0.8217219506179756,-37.0,6,0.6632653061224489,2,ok
WOYE01000009.1,414402,414487,0,86,83.8968022718715,6.832120216274546,0.5193033354719214,0.45123168369523475,0.008727018436873707,0.03453020659475142,-20.399999618530273,12,0.5581395348837209,2,ok
SJZI01000050.1,150447,150346,0,102,76.5462597687431,5.886884051848737,0.5729525652946952,0.43017046206049886,0.40850240197326776,0.4753069357995267,-33.29999923706055,8,0.5882352941176471,2,ok
JAABLQ010000001.1,2593560,2593655,0,96,58.666364913116624,6.553699710375305,0.7293552888754424,0.4115539622334678,0.042805781267912985,0.2975827437439717,-34.900001525878906,9,0.6354166666666666,2,ok
