rfamseq_acc,seq_start,seq_end,label,seq_length,nupack_Tm,nupack_hill_coeff,nupack_amplitude,nupack_mean_exposure,nupack_MFE,nupack_max_stem_length,nupack_max_loop_length,nupack_gc_content,nupack_sd_pair_prob_10C,nupack_sd_pair_prob_80C,nupack_fit_status
CP022437.1,68521,68315,0,207,45.592526399667776,5.856733005379742,0.17470204800641276,0.6906230455270129,-21.545942306518555,25,39,0.45893719806763283,0.6394740799126938,0.7306357913092559,ok
CP071182.1,12426,12240,0,187,68.59079971810561,4.741838880522376,0.4207590483547656,0.46775686604655303,-41.74382781982422,18,15,0.5347593582887701,0.42558361232609754,0.5134974078318468,ok
FOIM01000047.1,25434,25640,0,207,49.688707839605435,7.010712293208509,0.10322448976572013,0.5173143276216158,-44.726436614990234,13,15,0.5748792270531401,0.4872915332734231,0.5447222788630421,ok
BMEL01000002.1,569386,569545,0,160,61.368001540590726,5.6915990527079074,0.19817859631893642,0.5566670796937192,-35.62220764160156,11,12,0.55,0.528801636081701,0.5873859875646712,ok
LGDE01000475.1,15188,15050,0,139,81.21383727920369,4.178189953331313,0.5960563364688012,0.4628015043914975,-36.089744567871094,22,7,0.6834532374100719,0.4261709520785598,0.5025293662419019,ok
RCUY01000002.1,56658,56719,0,62,63.800376803738054,4.413645116515576,0.2266666636877458,0.6633405881602071,-10.670170783996582,7,17,0.5645161290322581,0.6341495771171107,0.6928563143808775,ok
JPVQ01000037.1,25068,24853,0,216,62.897670819247956,5.501373745266473,0.46285101177890886,0.6962252787313087,-18.65970230102539,15,17,0.4212962962962963,0.6364145071702256,0.7623527138930954,ok
NMQW01000013.1,177209,177118,0,92,74.2133957831603,5.138135695181487,0.6074397077521837,0.5588625048013675,-16.75568199157715,16,10,0.5108695652173914,0.5167761967275298,0.6079156929072393,ok
FNFL01000006.1,164527,164322,0,206,41.4825385996956,4.8620194479397725,0.17632499256018275,0.6189930324988727,-24.934062957763672,25,13,0.46116504854368934,0.5744390094428131,0.6510282561077758,ok
CP031223.1,442854,442704,0,151,57.81130226626993,5.170013351880037,0.3263785211278257,0.6410217826007378,-16.3433895111084,13,17,0.4304635761589404,0.584783346690061,0.6973783324841127,ok
JPVN01000011.1,30254,30023,0,232,36.76821241240757,1.7665143770285885,0.9944788217920035,0.7298219191395036,-15.719805717468262,17,25,0.3577586206896552,0.6347907833629808,0.8017939141118576,ok
NIOJ01000032.1,22752,22631,0,122,58.61513940808325,6.252616581060096,0.3434156363741261,0.6461134160323301,-16.577499389648438,11,25,0.5245901639344263,0.5892764163189816,0.7088379717526778,ok
JABEPQ010000003.1,126952,126887,0,66,88.72503940305958,4.8836702149518,0.5485242168555255,0.40036220778479786,-21.203153610229492,13,7,0.6818181818181818,0.38157148040988964,0.4227565058190386,ok
CP053661.1,3283144,3282966,0,179,81.34422895757129,4.569808032562288,0.5835802106282069,0.513457976967787,-34.77748107910156,46,25,0.553072625698324,0.48139998465128486,0.5495865655097409,ok
KI629782.1,750192,749985,0,208,69.23799919627788,3.7898020110535784,0.42752688957175017,0.5169855539221199,-41.74858856201172,16,21,0.5144230769230769,0.4718927430648869,0.5614790617011916,ok
BA000039.2,281279,281411,0,133,55.07888057473169,6.3119646639993165,0.1773462655618223,0.5726558550051116,-29.716842651367188,16,19,0.5488721804511278,0.5360159802328757,0.6109611478961031,ok
CP002343.1,3929829,3930034,0,206,91.5064130340725,3.871222299292353,0.5332474416533421,0.38826338496678475,-76.12359619140625,22,9,0.6747572815533981,0.36428091510078886,0.4140875171196992,ok
