record_id,blast_target_id,blast_evalue,blast_bitscore,blast_alignment_length,blast_identity_pct,blast_identity_frac,nhmmer_target_id,nhmmer_evalue,nhmmer_bitscore,nhmmer_alignment_length,nhmmer_identity_frac,nhmmer_identity_pct,best_tool,best_target_id,best_evalue,best_bitscore,best_alignment_length,best_identity_frac,best_identity_pct,has_hit,novelty_category
sample_297,CP000616.1/53228-54760,0.0,741,413,99.758,0.9975799999999999,CP000614.1/2561787-2560255,7.7e-127,428.5,412.0,0.9975786924939467,99.75786924939467,blastn,CP000616.1/53228-54760,0.0,741.0,413.0,0.9975799999999999,99.758,True,identical_near
sample_5115,FMKA01000073.1/127-1658,1.39e-167,591,370,95.405,0.9540500000000001,FMKA01000073.1/127-1658,2.4e-101,345.4,370.0,0.981081081081081,98.1081081081081,nhmmer,FMKA01000073.1/127-1658,2.4e-101,345.4,370.0,0.981081081081081,98.1081081081081,True,identical_near
sample_5217,CP000029.1/1718864-1717314,0.0,725,404,99.752,0.99752,CP000029.1/1718864-1717314,3.8e-122,413.5,403.0,0.9975247524752475,99.75247524752476,nhmmer,CP000029.1/1718864-1717314,3.8e-122,413.5,403.0,0.9975247524752475,99.75247524752476,True,identical_near
sample_8665,AP006716.1/2500338-2498788,0.0,725,414,98.792,0.98792,AP006716.1/2500338-2498788,3.3e-124,420.2,414.0,0.9879227053140096,98.79227053140096,nhmmer,AP006716.1/2500338-2498788,3.3e-124,420.2,414.0,0.9879227053140096,98.79227053140096,True,identical_near
sample_2971,LKDW01000070.1/1486-49,0.0,759,425,99.765,0.99765,LKDW01000070.1/1486-49,1.6e-128,434.4,424.0,1.0,100.0,nhmmer,LKDW01000070.1/1486-49,1.6e-128,434.4,424.0,1.0,100.0,True,identical_near
sample_3904,ADBS01000001.1/2684736-2683185,1.82e-172,607,373,97.051,0.97051,ADBS01000001.1/196617-198182,1.8e-98,335.7,367.0,0.9811827956989247,98.11827956989248,nhmmer,ADBS01000001.1/196617-198182,1.8e-98,335.7,367.0,0.9811827956989247,98.11827956989248,True,identical_near
sample_6366,CP000029.1/150375-151925,0.0,770,429,99.767,0.99767,CP000029.1/150375-151925,3.4e-131,443.2,428.0,0.9976689976689976,99.76689976689977,blastn,CP000029.1/150375-151925,0.0,770.0,429.0,0.99767,99.767,True,identical_near
sample_3835,JH594438.1/5716-4200,2.96e-176,619,378,96.296,0.96296,JH594438.1/5716-4200,3.4e-106,361.1,378.0,0.979002624671916,97.9002624671916,nhmmer,JH594438.1/5716-4200,3.4e-106,361.1,378.0,0.979002624671916,97.9002624671916,True,identical_near
sample_3438,CP006812.1/1293721-1292160,0.0,804,487,96.92,0.9692000000000001,CP006812.1/1293721-1292160,1.4e-140,474.1,487.0,0.9731958762886598,97.31958762886597,nhmmer,CP006812.1/1293721-1292160,1.4e-140,474.1,487.0,0.9731958762886598,97.31958762886597,True,identical_near
sample_7709,URS0000BC469A_1280/1-1547,0.0,730,407,99.754,0.9975400000000001,URS0000BC469A_1280/1-1547,4.2e-124,419.6,406.0,0.9975429975429976,99.75429975429975,nhmmer,URS0000BC469A_1280/1-1547,4.2e-124,419.6,406.0,0.9975429975429976,99.75429975429975,True,identical_near
sample_4693,AP006716.1/2500338-2498788,0.0,725,414,98.792,0.98792,AP006716.1/2500338-2498788,4.4e-124,419.7,414.0,0.9879227053140096,98.79227053140096,nhmmer,AP006716.1/2500338-2498788,4.4e-124,419.7,414.0,0.9879227053140096,98.79227053140096,True,identical_near
sample_6307,ABKZ01000640.1/5030-3495,0.0,729,414,99.034,0.9903400000000001,ABKZ01000640.1/5030-3495,4.5e-123,416.7,413.0,0.9927536231884058,99.27536231884058,nhmmer,ABKZ01000640.1/5030-3495,4.5e-123,416.7,413.0,0.9927536231884058,99.27536231884058,True,identical_near
sample_961,CBXI010000035.1/1550-42,0.0,792,439,100.0,1.0,CBXI010000035.1/1550-42,2.3e-133,450.5,438.0,1.0,100.0,nhmmer,CBXI010000035.1/1550-42,2.3e-133,450.5,438.0,1.0,100.0,True,identical_near
sample_723,DS027472.1/1139-1,0.0,698,406,98.276,0.98276,LDJK01000058.1/5124-3578,6.5e-118,399.5,406.0,0.9851851851851852,98.51851851851852,nhmmer,LDJK01000058.1/5124-3578,6.5e-118,399.5,406.0,0.9851851851851852,98.51851851851852,True,identical_near
sample_4922,CP010777.1/4818201-4819710,4.0899999999999993e-104,380,333,85.285,0.85285,CP010777.1/2694987-2693478,3.3e-70,243.3,332.0,0.9582089552238806,95.82089552238806,nhmmer,CP010777.1/2694987-2693478,3.3e-70,243.3,332.0,0.9582089552238806,95.82089552238806,True,identical_near
sample_2090,CP003583.1/463157-464716,0.0,638,356,99.719,0.9971899999999999,KE136512.1/412887-414446,1.5e-107,365.1,356.0,0.9971910112359551,99.71910112359551,nhmmer,KE136512.1/412887-414446,1.5e-107,365.1,356.0,0.9971910112359551,99.71910112359551,True,identical_near
sample_6526,CP000029.1/150375-151925,0.0,728,408,99.51,0.9951000000000001,CP000029.1/150375-151925,1.5e-123,417.9,408.0,0.9950980392156863,99.50980392156863,blastn,CP000029.1/150375-151925,0.0,728.0,408.0,0.9951000000000001,99.51,True,identical_near
sample_8223,AP006716.1/2500338-2498788,0.0,720,414,98.551,0.98551,AP006716.1/2500338-2498788,1.8e-123,417.8,414.0,0.9855072463768116,98.55072463768117,blastn,AP006716.1/2500338-2498788,0.0,720.0,414.0,0.98551,98.551,True,identical_near
