record_id,novelty_category,best_tool,best_target_id,best_identity_pct,best_evalue
eva_sample_15,identical_near,blastn,CP000473.1/5294752-5294401,100.0,1.98e-07
eva_sample_22,identical_near,blastn,AAFX01088509.1/935-572,100.0,1.88e-07
eva_sample_44,identical_near,blastn,AWGM01138337.1/10308-10235,100.0,0.002
eva_sample_48,identical_near,blastn,AY911531.1/1-237,100.0,0.025
eva_sample_55,identical_near,blastn,AAFX01088509.1/935-572,100.0,8.06e-06
eva_sample_73,identical_near,blastn,KB372778.1/740128-739775,100.0,3.73e-09
eva_sample_126,identical_near,blastn,AFXA01000011.1/216254-216632,100.0,3.6e-06
eva_sample_139,identical_near,blastn,AE017180.1/1874135-1874490,100.0,3.77e-08
eva_sample_144,identical_near,blastn,AM180252.1/573061-573436,100.0,7.97e-06
eva_sample_157,identical_near,blastn,LJTK01000352.1/3667-4012,100.0,2.28e-06
eva_sample_161,identical_near,blastn,JZQX01000091.1/1297-1653,100.0,8.62e-06
eva_sample_172,identical_near,blastn,AE017263.1/242816-242409,100.0,0.05
eva_sample_193,identical_near,blastn,AAPE02019447.1/24894-24998,100.0,0.087
eva_sample_216,identical_near,blastn,CP002659.1/640610-640987,100.0,0.001
eva_sample_227,identical_near,blastn,KI391948.1/376229-376596,100.0,0.002
eva_sample_248,identical_near,blastn,CP014206.1/2703768-2704152,100.0,5.2e-08
eva_sample_259,identical_near,blastn,CM000418.1/6799043-6799114,100.0,0.000731
eva_sample_263,identical_near,blastn,NBME01000077.1/6004-5899,100.0,2.23e-05
eva_sample_288,identical_near,blastn,AAFX01088509.1/935-572,100.0,1.92e-07
eva_sample_340,identical_near,blastn,MNYQ01000015.1/26897-27255,100.0,1.29e-09
eva_sample_350,identical_near,blastn,CP000555.1/2388964-2388593,100.0,2.4e-06
eva_sample_356,identical_near,blastn,CP002039.1/2687527-2687848,100.0,6.37e-08
eva_sample_357,identical_near,blastn,CP000916.1/157231-156875,100.0,2.99e-06
eva_sample_368,identical_near,blastn,JXSS01000116.1/5507-5860,100.0,0.000409
eva_sample_393,identical_near,blastn,MGRP01000164.1/9882-10234,100.0,3.62e-10
eva_sample_394,identical_near,blastn,CYKH01001888.1/2328-2399,100.0,0.032
eva_sample_412,identical_near,blastn,CP001281.2/1313664-1313991,100.0,0.000556
eva_sample_416,identical_near,blastn,CP002420.1/1268682-1269044,100.0,2.29e-06
eva_sample_438,identical_near,blastn,JTDY01008884.1/7464-7406,100.0,6.44e-07
eva_sample_441,identical_near,blastn,AE017180.1/1874135-1874490,100.0,2.34e-05
eva_sample_458,identical_near,blastn,AE017180.1/1874135-1874490,100.0,2.94e-05
eva_sample_465,identical_near,blastn,CP002444.1/264550-264198,100.0,7.3e-07
eva_sample_473,identical_near,blastn,FR891342.1/102419-102071,100.0,1.37e-05
eva_sample_478,identical_near,blastn,CP001472.1/1452760-1452409,100.0,8.33e-06
eva_sample_210,identical_near,blastn,MSXP01000007.1/245718-245351,97.297,2.03e-08
eva_sample_23,identical_near,blastn,JZQX01000091.1/1297-1653,97.222,2.51e-08
eva_sample_66,identical_near,blastn,MGYU01000102.1/4431-4070,97.222,5.33e-08
eva_sample_76,identical_near,blastn,KB372778.1/740128-739775,97.143,2.16e-07
eva_sample_63,identical_near,blastn,CP000563.1/1487294-1486939,97.059,7.5e-06
eva_sample_140,identical_near,blastn,CP007053.1/4961015-4961370,97.059,8.01e-06
eva_sample_395,identical_near,blastn,LMJN01000002.1/600293-599940,97.059,8.04e-06
eva_sample_402,identical_near,blastn,MNRJ01000086.1/22499-22153,97.059,8.4e-06
eva_sample_156,identical_near,blastn,CP009788.1/1818524-1818879,96.875,8.38e-06
eva_sample_298,identical_near,blastn,FR887727.1/118245-118596,96.875,7.77e-06
eva_sample_314,identical_near,blastn,CP014943.1/3043131-3042783,96.875,7.89e-06
eva_sample_410,identical_near,blastn,CP002858.1/636403-636054,96.875,8.79e-06
eva_sample_46,identical_near,nhmmer,MLAU01033334.1/3152-1,96.83333333333334,2.8e-07
eva_sample_143,identical_near,blastn,KI260415.1/27267-26895,96.774,4.79e-05
eva_sample_365,identical_near,blastn,CP003230.1/1560742-1561117,96.667,0.000105
eva_sample_436,identical_near,blastn,MFTT01000031.1/12877-12807,96.667,1.43e-05
eva_sample_426,identical_near,blastn,CP001997.1/1380032-1379681,96.552,0.004
eva_sample_209,identical_near,blastn,MHQR01000014.1/44144-43781,96.429,0.001
eva_sample_190,identical_near,blastn,CP000679.1/1245181-1244816,96.296,0.005
eva_sample_327,identical_near,blastn,KI518165.1/55798-56145,96.296,0.007
eva_sample_499,identical_near,blastn,LJTK01000352.1/3667-4012,96.296,0.000821
eva_sample_326,identical_near,blastn,KK198756.1/4831681-4831768,96.154,0.025
eva_sample_81,identical_near,blastn,KI391948.1/376229-376596,96.0,0.087
eva_sample_94,identical_near,blastn,CM000567.1/9088003-9088150,96.0,0.087
eva_sample_240,identical_near,blastn,AAAA02043629.1/984-1362,96.0,0.051
eva_sample_331,identical_near,blastn,MGPH01000027.1/21453-21839,96.0,0.087
eva_sample_376,identical_near,blastn,GK000004.2/32610132-32610202,96.0,0.087
eva_sample_384,identical_near,blastn,FTOR01000011.1/79096-78723,96.0,0.051
eva_sample_422,identical_near,blastn,FR887908.1/29765-30111,96.0,0.087
eva_sample_435,identical_near,blastn,CP001146.1/1187989-1187640,96.0,0.087
eva_sample_510,identical_near,blastn,MNZG01000028.1/943-1332,96.0,0.048
eva_sample_36,identical_near,blastn,MGYI01000040.1/15438-15037,95.238,4.5e-09
eva_sample_366,identical_near,blastn,CP000614.1/1042603-1042234,95.122,1.31e-09
eva_sample_509,identical_near,blastn,CP002039.1/2687527-2687848,94.872,2.23e-07
eva_sample_328,identical_near,blastn,LGTC01000001.1/5090391-5090011,94.595,2.42e-06
eva_sample_353,identical_near,blastn,CBTJ020000071.1/156637-157004,94.595,1.85e-07
eva_sample_114,identical_near,blastn,JRYO01000028.1/19985-19632,94.286,1.52e-06
eva_sample_187,identical_near,blastn,MFNE01000016.1/26349-26751,94.286,2.48e-06
eva_sample_300,identical_near,blastn,CP003379.1/2948842-2949196,94.286,4.79e-05
eva_sample_108,identical_near,blastn,CP011307.1/469618-469263,93.939,4.79e-05
eva_sample_507,identical_near,blastn,LLEU01000039.1/39814-40187,93.939,2.8e-05
eva_sample_476,identical_near,nhmmer,GL378071.1/4852-2865,93.66666666666667,3.9e-20
eva_sample_128,identical_near,blastn,MICM01000254.1/3160-2831,93.617,3.73e-10
eva_sample_337,identical_near,blastn,LQAA01000069.1/10493-10138,93.333,2.54e-10
eva_sample_420,identical_near,blastn,AAVV01000001.1/391566-391176,93.333,1.89e-10
eva_sample_309,identical_near,blastn,AP013035.1/288584-288937,93.182,1.66e-08
eva_sample_70,identical_near,blastn,MLBG01000029.1/33242-33599,92.857,0.013
eva_sample_28,identical_near,blastn,CP004372.1/986811-987001,92.593,0.087
eva_sample_89,identical_near,blastn,MHNY01000003.1/1-1247,92.593,0.087
eva_sample_135,identical_near,blastn,GL348713.1/2485397-2485312,92.593,0.087
eva_sample_257,identical_near,blastn,JOKH01000004.1/334631-334219,92.593,0.087
eva_sample_272,identical_near,blastn,CP001819.1/2800627-2800260,92.593,0.087
eva_sample_459,identical_near,blastn,MHXM01000110.1/5400-5044,92.593,0.087
eva_sample_112,identical_near,nhmmer,GL378071.1/4852-2865,92.5,1.1e-08
eva_sample_445,identical_near,nhmmer,AACT01016732.1/1-1458,92.5,8.6e-19
eva_sample_338,identical_near,blastn,LT607802.1/3012175-3011814,92.308,7.2e-07
eva_sample_467,identical_near,blastn,CP014989.1/3478789-3479156,91.892,8.18e-06
