record_id,novelty_category,best_tool,best_target_id,best_identity_pct,best_evalue
sample_2971,identical_near,nhmmer,LKDW01000070.1/1486-49,100.0,1.6e-128
sample_961,identical_near,nhmmer,CBXI010000035.1/1550-42,100.0,2.3e-133
sample_2187,identical_near,nhmmer,AE006468.2/3572014-3570473,100.0,1.1e-131
sample_6273,identical_near,nhmmer,AE006468.2/3572014-3570473,100.0,1.1e-131
sample_8974,identical_near,nhmmer,AE006468.2/3572014-3570473,100.0,1.1e-131
sample_1264,identical_near,nhmmer,LISW01000013.1/64-1589,100.0,1.2e-145
sample_929,identical_near,nhmmer,AE006468.2/3572014-3570473,100.0,4.4e-130
sample_8633,identical_near,nhmmer,FP929061.1/44189-45721,100.0,1.5e-113
sample_9094,identical_near,nhmmer,AEUN01000485.1/1-1169,100.0,8.9e-125
sample_2669,identical_near,nhmmer,CP000725.1/2178566-2177010,100.0,2.5e-108
sample_7316,identical_near,nhmmer,NHOM01000002.1/629177-630709,100.0,1.5e-117
sample_6366,identical_near,blastn,CP000029.1/150375-151925,99.767,0.0
sample_297,identical_near,blastn,CP000616.1/53228-54760,99.758,0.0
sample_5766,identical_near,blastn,CAFK01000252.1/134-1622,99.758,0.0
sample_7709,identical_near,nhmmer,URS0000BC469A_1280/1-1547,99.75429975429975,4.2e-124
sample_5217,identical_near,nhmmer,CP000029.1/1718864-1717314,99.75247524752476,3.8e-122
sample_4576,identical_near,nhmmer,CP000253.1/1906484-1904933,99.74811083123426,5.1e-120
sample_949,identical_near,nhmmer,LJHY01000006.1/224-1726,99.73821989528795,1e-114
sample_4465,identical_near,blastn,LIAO01000284.1/870-1,99.728,0.0
sample_1810,identical_near,nhmmer,CP000725.1/2178566-2177010,99.7229916897507,1.1e-108
sample_2090,identical_near,nhmmer,KE136512.1/412887-414446,99.71910112359551,1.5e-107
sample_1121,identical_near,nhmmer,CP000725.1/2178566-2177010,99.71910112359551,9.4e-108
sample_5421,identical_near,nhmmer,GG745390.1/34889-28108,99.63369963369964,3.3e-13
sample_1925,identical_near,nhmmer,CP000029.1/150375-151925,99.52718676122932,1e-128
sample_342,identical_near,blastn,URS0000D56C2C_1280/6-1539,99.522,0.0
sample_6526,identical_near,blastn,CP000029.1/150375-151925,99.51,0.0
sample_8089,identical_near,blastn,CP000029.1/150375-151925,99.51,0.0
sample_3584,identical_near,blastn,CP000029.1/150375-151925,99.494,0.0
sample_8145,identical_near,nhmmer,LL974006.1/233-1777,99.48717948717949,4.3e-117
sample_3590,identical_near,nhmmer,CP000029.1/150375-151925,99.48186528497409,5.7e-116
sample_7521,identical_near,nhmmer,CP014616.1/1102049-1103600,99.46236559139786,1.2e-106
sample_7009,identical_near,blastn,CP000029.1/150375-151925,99.291,0.0
sample_6307,identical_near,nhmmer,ABKZ01000640.1/5030-3495,99.27536231884058,4.5e-123
sample_9540,identical_near,nhmmer,ACSH02000003.1/1975-421,99.25187032418953,6e-118
sample_9645,identical_near,nhmmer,LDJK01000058.1/5124-3578,99.24812030075188,5.2e-119
sample_5080,identical_near,nhmmer,CP000029.1/150375-151925,99.24433249370277,1.1e-118
sample_4083,identical_near,nhmmer,KB233229.1/209-1749,99.17808219178083,1.1e-108
sample_54,identical_near,nhmmer,CP000029.1/150375-151925,99.04306220095694,8.3e-126
sample_6113,identical_near,blastn,LDJP01000061.1/4-1548,99.01,0.0
sample_5582,identical_near,nhmmer,CP001101.1/121453-122954,99.0,1.2e-118
sample_539,identical_near,nhmmer,LDJK01000058.1/5124-3578,99.0,7.9e-119
sample_3154,identical_near,blastn,MCIC01000017.1/232-1760,98.892,1.27e-180
sample_8665,identical_near,nhmmer,AP006716.1/2500338-2498788,98.79227053140096,3.3e-124
sample_4693,identical_near,nhmmer,AP006716.1/2500338-2498788,98.79227053140096,4.4e-124
sample_4896,identical_near,nhmmer,LDJK01000058.1/5124-3578,98.78345498783455,5.7e-122
sample_7192,identical_near,nhmmer,LDJK01000058.1/5124-3578,98.76847290640394,2.8e-120
sample_8413,identical_near,blastn,URS0000B21DF7_1280/1-1547,98.747,0.0
sample_3667,identical_near,nhmmer,AZDG01000033.1/5037-3464,98.72448979591837,4e-115
sample_3341,identical_near,nhmmer,LDJK01000058.1/5124-3578,98.72448979591837,3.9e-115
sample_9722,identical_near,blastn,DS027472.1/1139-1,98.681,0.0
sample_5123,identical_near,nhmmer,CP010554.1/2459704-2458137,98.59484777517564,1.8e-125
sample_6805,identical_near,nhmmer,FTOF01000024.1/350-1866,98.58490566037736,3.4e-123
sample_8223,identical_near,blastn,AP006716.1/2500338-2498788,98.551,0.0
sample_2260,identical_near,nhmmer,AP006716.1/2500338-2498788,98.55072463768117,3.1e-123
sample_7466,identical_near,nhmmer,AP006716.1/2500338-2498788,98.54721549636804,2.6e-123
sample_2718,identical_near,nhmmer,AP006716.1/2500338-2498788,98.52941176470588,1.6e-121
sample_723,identical_near,nhmmer,LDJK01000058.1/5124-3578,98.51851851851852,6.5e-118
sample_6661,identical_near,nhmmer,CP002205.1/1570997-1569479,98.51632047477746,4.7e-95
sample_2979,identical_near,nhmmer,KQ483358.1/1086236-1087770,98.4536082474227,6.1e-111
sample_7933,identical_near,nhmmer,AMSI01000044.1/396-1880,98.42105263157895,4.9e-110
sample_5150,identical_near,blastn,LJHO01000010.1/106145-107629,98.396,0.0
sample_725,identical_near,nhmmer,BCMY01000192.1/1-1541,98.34710743801654,2.6e-105
sample_6955,identical_near,nhmmer,CP000029.1/150375-151925,98.2843137254902,6.3e-121
sample_2070,identical_near,nhmmer,LDJK01000058.1/5124-3578,98.27586206896551,1.1e-118
sample_806,identical_near,nhmmer,LWAE01000001.1/134945-136456,98.17767653758543,1.4e-127
sample_3557,identical_near,nhmmer,LDJK01000058.1/5124-3578,98.13829787234043,1.7e-109
sample_3904,identical_near,nhmmer,ADBS01000001.1/196617-198182,98.11827956989248,1.8e-98
sample_5115,identical_near,nhmmer,FMKA01000073.1/127-1658,98.1081081081081,2.4e-101
sample_3835,identical_near,nhmmer,JH594438.1/5716-4200,97.9002624671916,3.4e-106
