rfamseq_acc,seq_start,seq_end,label,seq_length,nupack_Tm,nupack_hill_coeff,nupack_amplitude,nupack_mean_exposure,nupack_MFE,nupack_max_stem_length,nupack_max_loop_length,nupack_gc_content,nupack_sd_pair_prob_10C,nupack_sd_pair_prob_80C,nupack_fit_status
JACRTE010000004.1,226305,226434,0,130,26.783423230016645,4.817557745518685,0.6063173372266487,0.6639730862750451,-20.344406127929688,11,26,0.35384615384615387,0.6063339793949275,0.6956796447176186,ok
CP019605.1,2532991,2533086,0,96,57.529791340163456,7.138913872674704,0.25548947482614714,0.545952712723304,-18.798166275024414,15,8,0.6041666666666666,0.5011401423757317,0.5980543496699159,ok
FSRE01000001.1,445320,445418,0,99,46.68624715867833,7.465226720353133,0.1672722587185249,0.4642580698126045,-28.366519927978516,23,6,0.6464646464646465,0.4073329130649614,0.5114376996648883,ok
CP000478.1,3423285,3423188,0,98,44.76280301968752,5.936982532449626,0.12001561524884341,0.6043498991181094,-17.7943115234375,13,15,0.5714285714285714,0.5684081377169041,0.6318109338097291,ok
MIJB01000009.1,259635,259728,0,94,94.99999997093104,2.7511511071641275,0.6098203845870829,0.5910788388283845,-19.685565948486328,12,20,0.6702127659574468,0.5558858814009061,0.6249018025497867,ok
JACHHG010000002.1,125572,125669,0,98,91.76572425331928,5.099431072861673,0.5268598509712548,0.4284002762285502,-32.84376907348633,14,8,0.6530612244897959,0.41439398512185294,0.4455177639259888,ok
PVZS01000010.1,98071,97973,0,99,90.62860772531936,3.9781032629014197,0.5701403867438299,0.4253297785609907,-28.393949508666992,24,9,0.6666666666666666,0.39855724426436795,0.4543709108586753,ok
HF996063.1,14081,13991,0,91,72.51955965617009,2.111241915053115,0.7792702989695068,0.5850776338866993,-15.178238868713379,12,22,0.5604395604395604,0.5162238431752395,0.6441697034552589,ok
CP025513.1,1104934,1105037,0,104,49.94357993831377,2.224124002781122,0.4209099718611924,0.4732986834942845,-28.399795532226562,19,6,0.625,0.42320816951844636,0.5134417670343111,ok
JACMQW010000080.1,73935,74028,0,94,82.8311333205568,5.131972501972946,0.561414818068979,0.5224805270332507,-19.776506423950195,9,8,0.574468085106383,0.4984479078937604,0.5513285817587096,ok
AP012338.1,3520195,3520101,0,95,90.93184524271423,2.7971805725337444,0.4322453690599051,0.46251009986922026,-24.613161087036133,16,11,0.6842105263157895,0.4354267384874414,0.48847872071041304,ok
FNGS01000003.1,286282,286186,0,97,41.00204060668367,6.626939653913652,0.12903002571671884,0.6278306501812814,-18.29294776916504,16,9,0.5670103092783505,0.5857807146946585,0.6552159131807307,ok
FQXB01000003.1,227429,227331,0,99,93.90296055252459,3.620709744947876,0.5721686676623443,0.5614071369931563,-19.93399429321289,20,9,0.6060606060606061,0.5354566115622387,0.5887208401377613,ok
BEIN01000001.1,1521,1431,0,91,53.661598738978256,4.760816254257151,0.3398651874888379,0.5573516220074918,-17.813451766967773,9,7,0.5604395604395604,0.48942186163123597,0.6198681879555522,ok
VRSW01000004.1,84882,84974,0,93,93.86842094111229,2.0020123497117925,0.5385232715811922,0.5655807761523697,-15.764211654663086,15,15,0.6021505376344086,0.5307343566133087,0.5964181988652416,ok
PYAV01000002.1,6088,5987,0,102,94.9999999979391,2.208561317467705,0.3784045757965766,0.5917374405352348,-15.188892364501953,25,18,0.5392156862745098,0.5674854988733014,0.613910446327794,ok
JH651384.1,3388341,3388248,0,94,43.565811125957744,3.691888516852367,0.13549723263278463,0.5460499623335564,-18.87627410888672,11,12,0.5851063829787234,0.5192688762366949,0.5667726327360642,ok
FORY01000009.1,84450,84353,0,98,91.48977405530552,2.5374941443551324,0.49062710235656715,0.6101812803777026,-16.263126373291016,15,16,0.5918367346938775,0.5784255087614981,0.6397234521345893,ok
PDEP01000001.1,237674,237579,0,96,50.349429626897916,3.50166841944051,0.24446580198383894,0.6078566741099526,-18.10759162902832,17,16,0.5833333333333334,0.5646853707315089,0.643630476143267,ok
AVOG02000001.1,524638,524541,0,98,44.72810095915114,7.6499596439751985,0.13731378437981312,0.5783127203748634,-14.718745231628418,12,8,0.5918367346938775,0.5281629646209218,0.6156001272690516,ok
JACHXA010000008.1,32734,32848,0,115,40.74564052535552,10.531867831435836,0.09656616591663264,0.485145524924714,-24.65862274169922,34,11,0.6,0.44181817396248246,0.510229752294368,ok
CP000141.1,2138132,2138225,0,94,52.419040934119415,7.49944653502522,0.1672027437838468,0.48783399637731634,-23.060100555419922,28,10,0.574468085106383,0.4452905229096885,0.5323139314537044,ok
CYSD01000020.1,75183,75274,0,92,94.53863662867353,3.5229860500207906,0.5748431487222273,0.4964225798524726,-23.461942672729492,21,10,0.5978260869565217,0.46952562128395464,0.5245484243227728,ok
JACHIW010000001.1,783117,783020,0,98,84.16630991059246,4.232457890057218,0.57115629661341,0.5264225208456997,-23.439626693725586,13,12,0.6122448979591837,0.495903632105539,0.5599833870214215,ok
JXII01000010.1,56078,55982,0,97,40.051802083598254,19.999999999998053,0.02173311472451711,0.5920289486591263,-15.449753761291504,13,25,0.5773195876288659,0.578878723842126,0.5951281876643685,ok
SMAR01000016.1,11989,12084,0,96,94.9999999894803,2.921390229205446,0.3520410594256728,0.5381441258330378,-21.77113914489746,17,16,0.59375,0.5186136797100488,0.5572901592546519,ok
LT907844.1,197802,197708,0,95,89.79228543853027,3.4919369422973427,0.5597531429726879,0.537390385407075,-21.15711212158203,10,12,0.6105263157894737,0.5070024639947779,0.5685682008331238,ok
FR884410.1,956,1042,0,87,84.53368562326007,7.820485479681193,0.514144499417186,0.48889753772683814,-24.317644119262695,22,20,0.6206896551724138,0.48116905629424167,0.4993721977503813,ok
KI635562.1,778636,778542,0,95,94.11024450558091,2.6696983782263595,0.6193418314730392,0.5954713404700839,-17.061460494995117,13,12,0.5684210526315789,0.5584674741268041,0.6305818186476319,ok
CADIKF010000001.1,90217,90124,0,94,61.27124390513785,5.619853352403564,0.2702078140975007,0.5549333378917111,-22.251968383789062,15,7,0.6595744680851063,0.5166994304922466,0.5970398192810588,ok
QQSV01000004.1,71495,71386,0,110,51.25680033462517,19.999999999999996,-0.008961880945272283,0.5368263528454967,-24.685787200927734,7,16,0.6,0.5372082781697634,0.5308104720368247,ok
FOSC01000009.1,132418,132511,0,94,79.0500208747118,0.2941068448401838,0.9498002727603456,0.5951680579009954,-19.024211883544922,11,19,0.6170212765957447,0.5796164394583467,0.6074517285860462,ok
CP032762.1,1011483,1011578,0,96,87.69834018131371,3.5239513804607823,0.5967972261430877,0.5488773204883266,-21.1878662109375,13,9,0.6145833333333334,0.5144968775803888,0.5842491328179205,ok
