record_id,blast_target_id,blast_evalue,blast_bitscore,blast_alignment_length,blast_identity_pct,blast_identity_frac,nhmmer_target_id,nhmmer_evalue,nhmmer_bitscore,nhmmer_alignment_length,nhmmer_identity_frac,nhmmer_identity_pct,best_tool,best_target_id,best_evalue,best_bitscore,best_alignment_length,best_identity_frac,best_identity_pct,has_hit,novelty_category
eva_sample_0,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_1,,,,,,,MERM01000018.1/47475-47843,0.00041,26.0,238.0,0.47333333333333333,47.333333333333336,nhmmer,MERM01000018.1/47475-47843,0.00041,26.0,238.0,0.47333333333333333,47.333333333333336,True,remote_homolog
eva_sample_2,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_3,,,,,,,MGQB01000038.1/65397-65747,0.027,19.7,150.0,0.47,47.0,nhmmer,MGQB01000038.1/65397-65747,0.027,19.7,150.0,0.47,47.0,True,remote_homolog
eva_sample_4,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_5,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_6,,,,,,,LHQN01009145.1/1669-1225,1.9e-40,145.3,402.0,0.46,46.0,nhmmer,LHQN01009145.1/1669-1225,1.9e-40,145.3,402.0,0.46,46.0,True,remote_homolog
eva_sample_7,JGYX01000003.1/208724-205665,0.087,41.0,54.0,77.778,0.77778,,,,,,,blastn,JGYX01000003.1/208724-205665,0.087,41.0,54.0,0.77778,77.778,True,remote_homolog
eva_sample_8,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_9,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_10,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_11,CM002482.1/11851810-11851641,0.087,41.9,30.0,90.0,0.9,,,,,,,blastn,CM002482.1/11851810-11851641,0.087,41.9,30.0,0.9,90.0,True,identical_near
eva_sample_12,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_13,,,,,,,CM001003.2/70195264-70194874,2.8e-06,33.1,68.0,0.46166666666666667,46.166666666666664,nhmmer,CM001003.2/70195264-70194874,2.8e-06,33.1,68.0,0.46166666666666667,46.166666666666664,True,remote_homolog
eva_sample_14,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_15,CP000473.1/5294752-5294401,1.98e-07,59.0,32.0,100.0,1.0,LGTC01000001.1/5090391-5090011,0.00055,26.5,380.0,0.6728723404255319,67.2872340425532,blastn,CP000473.1/5294752-5294401,1.98e-07,59.0,32.0,1.0,100.0,True,identical_near
eva_sample_16,BDFN01000111.1/9805-12347,0.087,41.0,42.0,80.952,0.80952,,,,,,,blastn,BDFN01000111.1/9805-12347,0.087,41.0,42.0,0.80952,80.952,True,remote_homolog
eva_sample_17,,,,,,,CBUX010018447.1/873-1142,4.7e-35,127.6,262.0,0.3016666666666667,30.166666666666668,nhmmer,CBUX010018447.1/873-1142,4.7e-35,127.6,262.0,0.3016666666666667,30.166666666666668,True,remote_homolog
eva_sample_18,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_19,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_20,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_21,FWZT01000014.1/175140-174786,1.56e-08,62.6,51.0,88.235,0.88235,MHAF01000009.1/14340-13982,0.0026,24.5,323.0,0.6602209944751382,66.02209944751381,blastn,FWZT01000014.1/175140-174786,1.56e-08,62.6,51.0,0.88235,88.235,True,remote_homolog
eva_sample_22,AAFX01088509.1/935-572,1.88e-07,59.0,32.0,100.0,1.0,CP002903.1/1311597-1311945,0.00036,27.4,345.0,0.6713091922005571,67.1309192200557,blastn,AAFX01088509.1/935-572,1.88e-07,59.0,32.0,1.0,100.0,True,identical_near
eva_sample_23,JZQX01000091.1/1297-1653,2.51e-08,61.7,36.0,97.222,0.97222,LGEN01000034.1/10292-10671,0.009,24.2,123.0,0.8888888888888888,88.88888888888889,blastn,JZQX01000091.1/1297-1653,2.51e-08,61.7,36.0,0.97222,97.222,True,identical_near
eva_sample_24,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_25,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_26,,,,,,,,,,,,,,,,,,,,False,no_hit
eva_sample_27,,,,,,,,,,,,,,,,,,,,False,no_hit
